Batch,Decom Loss,Relight Loss
28,0.0181,0.3541
29,0.0182,0.354
30,0.0174,0.3538
31,0.0175,0.3537
32,0.0181,0.3537
33,0.0177,0.3535
34,0.0175,0.3534
35,0.0183,0.3534
36,0.0176,0.3531
37,0.0176,0.3531
38,0.0178,0.3531
39,0.0175,0.3533
40,0.0174,0.3529
41,0.0177,0.3528
42,0.0175,0.3525
43,0.0175,0.3525
44,0.0179,0.3524
45,0.018,0.3523
46,0.0173,0.352
47,0.0175,0.352
48,0.0175,0.3519
49,0.0173,0.3517
50,0.017,0.3517
51,0.0175,0.3517
52,0.0173,0.3516
53,0.0172,0.3514
54,0.0173,0.3516
55,0.0175,0.3512
56,0.0173,0.3513
57,0.0175,0.351
58,0.0175,0.351
59,0.0174,0.3507
60,0.0176,0.3506
61,0.0171,0.3506
62,0.0173,0.3506
63,0.0173,0.3502
64,0.0171,0.3503
65,0.0174,0.35
66,0.0174,0.3509
67,0.0173,0.3498
68,0.017,0.3499
69,0.0176,0.3496
70,0.0171,0.3498
71,0.0173,0.3494
72,0.0174,0.3494
73,0.0178,0.3503
74,0.0173,0.3497
75,0.0174,0.3501
76,0.0169,0.3488
77,0.0174,0.3491
78,0.0169,0.3487
79,0.0172,0.3491
80,0.0173,0.3487
81,0.0171,0.3483
82,0.017,0.3485
83,0.0168,0.3479
84,0.0171,0.3477
85,0.0171,0.3477
86,0.0173,0.3476
87,0.0169,0.3475
88,0.0168,0.3478
89,0.0165,0.3473
90,0.0173,0.3475
91,0.0173,0.347
92,0.0171,0.3469
93,0.0167,0.3467
94,0.0175,0.3467
95,0.0175,0.3466
96,0.0166,0.3465
97,0.0166,0.3465
98,0.0167,0.3462
99,0.0166,0.346
100,0.0167,0.3462
101,0.017,0.3458
102,0.0168,0.3457
103,0.0169,0.3456
104,0.0165,0.3456
105,0.0166,0.3453
106,0.017,0.3452
107,0.0169,0.3451
108,0.017,0.3449
109,0.0165,0.3447
110,0.0168,0.3446
111,0.0169,0.3445
112,0.0167,0.3444
113,0.0165,0.3444
114,0.0164,0.3443
115,0.0165,0.344
116,0.0163,0.3441
117,0.0162,0.3438
118,0.0163,0.3437
119,0.0165,0.3436
120,0.0165,0.3436
121,0.0162,0.3434
122,0.0165,0.3431
123,0.0163,0.3429
124,0.0164,0.343
125,0.0163,0.343
126,0.0166,0.3428
127,0.0161,0.3426
128,0.0162,0.3422
129,0.0161,0.3424
130,0.0162,0.3422
131,0.0162,0.3418
132,0.0163,0.3418
133,0.0163,0.3424
134,0.0162,0.3419
135,0.0161,0.3413
136,0.0164,0.3411
137,0.016,0.3413
138,0.0161,0.3409
139,0.0163,0.3408
140,0.016,0.3407
141,0.0164,0.3417
142,0.0159,0.3403
143,0.016,0.3405
144,0.0163,0.34
145,0.0158,0.3403
146,0.0159,0.3401
147,0.0158,0.3398
148,0.0159,0.3396
149,0.0161,0.3394
150,0.016,0.3394
151,0.016,0.3393
152,0.0158,0.3393
153,0.0158,0.339
154,0.0159,0.3387
155,0.016,0.3389
156,0.0158,0.3384
157,0.0159,0.3382
158,0.0159,0.3381
159,0.0158,0.3383
160,0.0157,0.3381
161,0.0159,0.338
162,0.0157,0.3378
163,0.0159,0.3376
164,0.0158,0.3374
165,0.0156,0.3377
166,0.0167,0.3401
167,0.0157,0.3371
168,0.0157,0.3367
169,0.0156,0.3366
170,0.016,0.3364
171,0.0155,0.3363
172,0.0155,0.3361
173,0.0156,0.3358
174,0.0157,0.3357
175,0.0156,0.3357
176,0.0156,0.336
177,0.0157,0.3355
178,0.0156,0.3353
179,0.0155,0.3351
180,0.0159,0.3349
181,0.0155,0.3346
182,0.0157,0.3347
183,0.0157,0.3344
184,0.0154,0.3343
185,0.0155,0.3341
186,0.0155,0.3343
187,0.0155,0.3341
188,0.0157,0.3337
189,0.0153,0.3335
190,0.0155,0.3335
191,0.0155,0.3333
192,0.0157,0.3334
193,0.0153,0.3332
194,0.0154,0.3327
195,0.0154,0.3326
196,0.0154,0.3325
197,0.0153,0.3328
198,0.0153,0.3326
199,0.0153,0.3322
200,0.0154,0.3317
201,0.0152,0.3318
202,0.0152,0.3316
203,0.0152,0.3313
204,0.0151,0.3316
205,0.0151,0.3314
206,0.015,0.331
207,0.0151,0.331
208,0.015,0.3307
209,0.015,0.3305
210,0.015,0.3302
211,0.0153,0.3302
212,0.0154,0.3298
213,0.0149,0.3299
214,0.0151,0.3293
215,0.0153,0.3292
216,0.015,0.329
217,0.0149,0.3288
218,0.0151,0.3288
219,0.015,0.3285
220,0.0154,0.3284
221,0.0149,0.3284
