(py37Retinex) D:\Zou\RetinexNet_PyTorch-master\RetinexNet_PyTorch-master>python train_improved.py --data_dir ./ --batch_size 2 --patch_size 64 --epochs 30 --lr 0.000003
训练数据数量: 485
Epoch [1/30], Batch [73/242], Decom Loss: 0.0212, Relight Loss: 0.3907
Epoch [1/30], Batch [74/242], Decom Loss: 0.0212, Relight Loss: 0.3907
Epoch [1/30], Batch [75/242], Decom Loss: 0.0200, Relight Loss: 0.3908
Epoch [1/30], Batch [76/242], Decom Loss: 0.0220, Relight Loss: 0.3906
Epoch [1/30], Batch [77/242], Decom Loss: 0.0210, Relight Loss: 0.3906
Epoch [1/30], Batch [78/242], Decom Loss: 0.0214, Relight Loss: 0.3905
Epoch [1/30], Batch [79/242], Decom Loss: 0.0204, Relight Loss: 0.3904
Epoch [1/30], Batch [80/242], Decom Loss: 0.0210, Relight Loss: 0.3906
Epoch [1/30], Batch [81/242], Decom Loss: 0.0215, Relight Loss: 0.3909
Epoch [1/30], Batch [82/242], Decom Loss: 0.0215, Relight Loss: 0.3909
Epoch [1/30], Batch [83/242], Decom Loss: 0.0217, Relight Loss: 0.3905
Epoch [1/30], Batch [84/242], Decom Loss: 0.0216, Relight Loss: 0.3905
Epoch [1/30], Batch [85/242], Decom Loss: 0.0214, Relight Loss: 0.3904
Epoch [1/30], Batch [86/242], Decom Loss: 0.0213, Relight Loss: 0.3904
Epoch [1/30], Batch [87/242], Decom Loss: 0.0213, Relight Loss: 0.3904
Epoch [1/30], Batch [88/242], Decom Loss: 0.0207, Relight Loss: 0.3905
Epoch [1/30], Batch [89/242], Decom Loss: 0.0202, Relight Loss: 0.3905
Epoch [1/30], Batch [90/242], Decom Loss: 0.0216, Relight Loss: 0.3907
Epoch [1/30], Batch [91/242], Decom Loss: 0.0217, Relight Loss: 0.3904
Epoch [1/30], Batch [92/242], Decom Loss: 0.0215, Relight Loss: 0.3904
Epoch [1/30], Batch [93/242], Decom Loss: 0.0213, Relight Loss: 0.3904
Epoch [1/30], Batch [94/242], Decom Loss: 0.0213, Relight Loss: 0.3903
Epoch [1/30], Batch [95/242], Decom Loss: 0.0218, Relight Loss: 0.3904
Epoch [1/30], Batch [96/242], Decom Loss: 0.0209, Relight Loss: 0.3904
Epoch [1/30], Batch [97/242], Decom Loss: 0.0217, Relight Loss: 0.3904
Epoch [1/30], Batch [98/242], Decom Loss: 0.0210, Relight Loss: 0.3903
Epoch [1/30], Batch [99/242], Decom Loss: 0.0212, Relight Loss: 0.3904
Epoch [1/30], Batch [100/242], Decom Loss: 0.0210, Relight Loss: 0.3906
Epoch [1/30], Batch [101/242], Decom Loss: 0.0212, Relight Loss: 0.3904
Epoch [1/30], Batch [102/242], Decom Loss: 0.0217, Relight Loss: 0.3904
Epoch [1/30], Batch [103/242], Decom Loss: 0.0212, Relight Loss: 0.3903
Epoch [1/30], Batch [104/242], Decom Loss: 0.0207, Relight Loss: 0.3902
Epoch [1/30], Batch [105/242], Decom Loss: 0.0216, Relight Loss: 0.3903
Epoch [1/30], Batch [106/242], Decom Loss: 0.0215, Relight Loss: 0.3903
Epoch [1/30], Batch [107/242], Decom Loss: 0.0210, Relight Loss: 0.3902
Epoch [1/30], Batch [108/242], Decom Loss: 0.0210, Relight Loss: 0.3903
Epoch [1/30], Batch [109/242], Decom Loss: 0.0209, Relight Loss: 0.3903
Epoch [1/30], Batch [110/242], Decom Loss: 0.0209, Relight Loss: 0.3902
Epoch [1/30], Batch [111/242], Decom Loss: 0.0207, Relight Loss: 0.3902
Epoch [1/30], Batch [112/242], Decom Loss: 0.0209, Relight Loss: 0.3902
Epoch [1/30], Batch [113/242], Decom Loss: 0.0207, Relight Loss: 0.3902
Epoch [1/30], Batch [114/242], Decom Loss: 0.0205, Relight Loss: 0.3901
Epoch [1/30], Batch [115/242], Decom Loss: 0.0202, Relight Loss: 0.3901
Epoch [1/30], Batch [116/242], Decom Loss: 0.0206, Relight Loss: 0.3901
Epoch [1/30], Batch [117/242], Decom Loss: 0.0203, Relight Loss: 0.3901
Epoch [1/30], Batch [118/242], Decom Loss: 0.0204, Relight Loss: 0.3902
Epoch [1/30], Batch [119/242], Decom Loss: 0.0193, Relight Loss: 0.3901
Epoch [1/30], Batch [120/242], Decom Loss: 0.0197, Relight Loss: 0.3900
Epoch [1/30], Batch [121/242], Decom Loss: 0.0201, Relight Loss: 0.3901
Epoch [1/30], Batch [122/242], Decom Loss: 0.0207, Relight Loss: 0.3901
Epoch [1/30], Batch [123/242], Decom Loss: 0.0203, Relight Loss: 0.3900
Epoch [1/30], Batch [124/242], Decom Loss: 0.0202, Relight Loss: 0.3900
Epoch [1/30], Batch [125/242], Decom Loss: 0.0201, Relight Loss: 0.3900
Epoch [1/30], Batch [126/242], Decom Loss: 0.0201, Relight Loss: 0.3900
